Title,Schema and Value Categories
Identifier,5c36a810-4033-437d-af01-3ade820323bc
Modified,2018-11-20T22:04:58

Section,Schema,Description,Ordered
Table,adult_2017,,
Table.Column,aa5c,ENROLLED MEMBER IN RECOGNIZED TRIBE,true
Column.Value,0,NOT ASCERTAINED,
Column.Value,1,DON'T KNOW,
Column.Value,2,REFUSED,
Column.Value,3,INAPPLICABLE,
Column.Value,4,YES,
Column.Value,5,NO,
Table.Column,ab1,GENERAL HEALTH CONDITION,true
Column.Value,0,EXCELLENT,
Column.Value,1,VERY GOOD,
Column.Value,2,GOOD,
Column.Value,3,FAIR,
Column.Value,4,POOR,
Table.Column,ab17,DOCTOR EVER TOLD HAVE ASTHMA,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ab40,STILL HAS ASTHMA,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab41,ASTHMA EPISODE/ATTACK IN PAST 12 MOS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab43,HEALTH PROFESSIONAL EVER GAVE ASTHMA MANAGEMENT PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab98,HAVE WRITTEN COPY OF ASTHMA CARE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab22,DOCTOR EVER TOLD HAVE DIABETES,true
Column.Value,0,YES,
Column.Value,1,NO,
Column.Value,2,BORDERLINE OR PRE-DIABETES,
Table.Column,ab99,DOC EVER TOLD HAVE PRE- OR BORDERLINE DIABETES,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab24,CURRENTLY TAKING INSULIN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab25,CURRENTLY TAKING DIABETIC PILLS TO LOWER BLOOD SUGAR,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab63,LAST EYE EXAM DILATED PUPILS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,WITHIN THE PAST MONTH,
Column.Value,2,1 TO 12 MOS AGO,
Column.Value,3,1 TO 2 YRS AGO,
Column.Value,4,2 OR MORE YRS AGO,
Column.Value,5,NEVER,
Table.Column,ab112,MEDICAL PROVIDERS DEVELOP DIABETES CARE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab81,DOCTOR TOLD HAD DIABETES ONLY DURING PREGNANCY,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Column.Value,3,BORDERLINE GESTATIONAL DIABETES,
Table.Column,ab29,DOCTOR EVER TOLD HAVE HIGH BLOOD PRESSURE,true
Column.Value,0,YES,
Column.Value,1,NO,
Column.Value,2,BORDERLINE HYPERTENSION,
Table.Column,ab30,CURRENTLY TAKING MEDICATIONS TO CONTROL HIGH BLOOD PRESSURE,true
Column.Value,0,INAPPLICABLE,
