code,name,alt_code,population,area,road_miles,daily_vmt
3701,Carlsbad,,112008,97713477,340.163,1982.123
3702,Chula Vista,,260598,128544440,483.036999999999,2412.366
3722,Colorado Desert Park,,,,,
3703,Coronado,,24852,20541298,52.389,97.363
3704,Del Mar,3700,4312,4420546,24.414,125.989
3705,El Cajon,,102894,37516310,190.583,895.714
3782,Encinitas,3700,62160,48722319,167.338,829.591000000001
3706,Escondido,,149912,96015101,333.933,1398.555
3707,Imperial Beach,3700,27180,10777758,60.459,117.052
3708,La Mesa,,59125,23552227,149.766,626.884
3720,Lemon Grove,3700,26421,10045431,63.274,252.147
3709,National City,,60349,18853103,104.63,486.121
3710,Oceanside,,173829,106841893,445.774,1457.029
3724,Ocotillo Wls Pk Dist,,,,,
3780,Poway,3700,49675,101214289,170.527,799.779
3711,San Diego,,1374812,842252395,2994.11699999997,12693.78
3700,San Diego County,,3253356,,9120.59,79622.63
3715,San Diego Harbor,,,,,
3725,San Diego Pk Dist,,,,,
3714,San Diego State Univ,,,,,
3712,San Marcos,3700,91479,63105425,176.041,852.204
3781,Santee,3700,56839,42058355,118.949,447.094
3783,Solana Beach,3700,13312,9115484,42.567,143.024
3797,Uc San Diego,,,,,
3713,Vista,3700,98560,48380231,171.362,916.33
