puma_geoid,tract_geoid
79500US0607302,14000US06073020810
79500US0607302,14000US06073020811
79500US0607302,14000US06073021206
79500US0607302,14000US06073021205
79500US0607302,14000US06073021000
79500US0607302,14000US06073019001
79500US0607302,14000US06073021302
79500US0607302,14000US06073019207
79500US0607302,14000US06073020903
79500US0607302,14000US06073018803
79500US0607302,14000US06073016802
79500US0607302,14000US06073021204
79500US0607302,14000US06073019107
79500US0607302,14000US06073020904
79500US0607302,14000US06073018700
79500US0607302,14000US06073016902
79500US0607302,14000US06073018801
79500US0607302,14000US06073020103
79500US0607302,14000US06073021100
79500US0607302,14000US06073019208
79500US0607302,14000US06073020807
79500US0607302,14000US06073018611
79500US0607302,14000US06073020902
79500US0607302,14000US06073019103
79500US0607302,14000US06073019106
79500US0607302,14000US06073018904
79500US0607302,14000US06073018802
79500US0607302,14000US06073018903
79500US0607302,14000US06073018905
79500US0607302,14000US06073018906
79500US0607302,14000US06073019105
79500US0607302,14000US06073020709
79500US0607302,14000US06073018612
79500US0607302,14000US06073019101
79500US0607302,14000US06073020304
79500US0607302,14000US06073015502
79500US0607302,14000US06073021202
79500US0607302,14000US06073019002
79500US0607310,14000US06073017303
79500US0607310,14000US06073017200
79500US0607310,14000US06073017304
79500US0607310,14000US06073017401
79500US0607310,14000US06073009101
79500US0607310,14000US06073990100
79500US0607310,14000US06073017813
79500US0607310,14000US06073021400
79500US0607310,14000US06073009901
79500US0607310,14000US06073010103
79500US0607310,14000US06073007600
79500US0607310,14000US06073008303
79500US0607310,14000US06073006200
79500US0607310,14000US06073008902
79500US0607310,14000US06073007100
79500US0607310,14000US06073006802
79500US0607310,14000US06073010800
79500US0607310,14000US06073008313
79500US0607310,14000US06073018700
79500US0607310,14000US06073006801
79500US0607310,14000US06073008310
79500US0607310,14000US06073009103
79500US0607310,14000US06073006500
79500US0607310,14000US06073008305
79500US0607310,14000US06073008324
79500US0607310,14000US06073008312
79500US0607310,14000US06073008311
79500US0607310,14000US06073000100
79500US0607310,14000US06073008339
79500US0607310,14000US06073017501
79500US0607310,14000US06073017702
79500US0607310,14000US06073017701
79500US0607310,14000US06073018000
79500US0607310,14000US06073018300
79500US0607310,14000US06073018100
79500US0607310,14000US06073009106
79500US0607310,14000US06073009104
79500US0607310,14000US06073005800
79500US0607310,14000US06073006300
79500US0607310,14000US06073006100
79500US0607310,14000US06073006600
79500US0607310,14000US06073007002
79500US0607310,14000US06073006900
79500US0607310,14000US06073007200
79500US0607310,14000US06073007502
79500US0607310,14000US06073007301
79500US0607310,14000US06073007302
79500US0607310,14000US06073007501
79500US0607310,14000US06073007400
79500US0607310,14000US06073007903
79500US0607310,14000US06073010200
79500US0607310,14000US06073008002
79500US0607310,14000US06073008101
79500US0607310,14000US06073008102
79500US0607310,14000US06073010501
79500US0607310,14000US06073008200
79500US0607310,14000US06073010502
79500US0607310,14000US06073008306
79500US0607310,14000US06073008301
79500US0607310,14000US06073010601
79500US0607310,14000US06073011000
79500US0607310,14000US06073010900
79500US0607310,14000US06073011100
79500US0607310,14000US06073011300
79500US0607310,14000US06073007800
79500US0607310,14000US06073008503
